,distance,number of catalogs,sigma 1,sigma 2,miqcp runtime,chainbreaker runtime,copkmeans runtime,kmeans runtime
0,0.13,10,0.04,0.04,1000000000,0.21482836701034103,0.0027564070041989908,0.047262660998967476
0,0.13,10,0.04,0.04,1000000000,0.21369413800130133,0.002713151989155449,0.04034467200108338
0,0.13,15,0.04,0.04,1000000000,0.4256177990027936,0.003861688994220458,0.0196693170000799
0,0.13,15,0.04,0.04,1000000000,0.4255239200138021,0.0038749939994886518,0.01959513699694071
0,0.13,15,0.04,0.04,1000000000,0.42545115400571376,0.003844557999400422,0.019175150999217294
0,0.13,15,0.04,0.04,1000000000,0.42711275300825946,0.003945700009353459,0.019135523994918913
0,0.13,15,0.04,0.04,1000000000,0.43375573500816245,0.003862457990180701,0.01948871699278243
0,0.13,15,0.04,0.04,1000000000,0.4330307350028306,0.0037586379912681878,0.019386827989364974
0,0.13,15,0.04,0.04,1000000000,0.4385754000104498,0.003953039005864412,0.019154720997903496
0,0.13,15,0.04,0.04,1000000000,0.4271418949938379,0.0037349939957493916,0.019193518004612997
0,0.13,15,0.04,0.04,1000000000,0.42557413400209043,0.0036294760066084564,0.018998235012986697
0,0.13,15,0.04,0.04,1000000000,0.425879332004115,0.003715377999469638,0.019309360999614
0,0.13,15,0.04,0.04,1000000000,0.4392449610022595,0.0038265479961410165,0.026707324999733828
0,0.13,15,0.04,0.04,1000000000,0.43912524900224525,0.0037606730038532987,0.01992397799040191
0,0.13,15,0.04,0.04,1000000000,0.43907700999989174,0.003697242005728185,0.0189137529960135
0,0.13,15,0.04,0.04,1000000000,0.43518104900431354,0.0037357539986260235,0.019801685004495084
0,0.13,15,0.04,0.04,1000000000,0.4388559780054493,0.003796860997681506,0.019655452997540124
0,0.13,15,0.04,0.04,1000000000,0.42835457299952395,0.0037773939984617755,0.01901955700304825
0,0.13,15,0.04,0.04,1000000000,0.4263570159964729,0.0036925629974575713,0.01926710100087803
0,0.13,15,0.04,0.04,1000000000,0.43187631900946144,0.0038430229906225577,0.019011990007129498
0,0.13,15,0.04,0.04,1000000000,0.4285096589883324,0.0036692900030175224,0.019694123999215662
0,0.13,15,0.04,0.04,1000000000,0.42826915699697565,0.0036880090046906844,0.019530952005879954
0,0.13,20,0.04,0.04,1000000000,0.7191789600037737,0.004836205000174232,0.019779193011345342
0,0.13,20,0.04,0.04,1000000000,0.744935651004198,0.004833611004869454,0.019870598000125028
0,0.13,20,0.04,0.04,1000000000,0.733825673989486,0.004842803988140076,0.019412401990848593
0,0.13,20,0.04,0.04,1000000000,0.7348716700071236,0.004815090011106804,0.019711779998033307
0,0.13,20,0.04,0.04,1000000000,0.7334434899967164,0.004739558993605897,0.019845981994876638
0,0.13,20,0.04,0.04,1000000000,0.7467098310007714,0.004904577988781966,0.019499242000165395
0,0.13,20,0.04,0.04,1000000000,0.7316715290071443,0.004782143994816579,0.01948941200680565
0,0.13,20,0.04,0.04,1000000000,0.7367716389999259,0.004848977012443356,0.01945215801242739
0,0.13,20,0.04,0.04,1000000000,0.7302317529974971,0.004687848995672539,0.019506422002450563
0,0.13,20,0.04,0.04,1000000000,0.7528590770089068,0.004802204988664016,0.01918953600397799
0,0.13,20,0.04,0.04,1000000000,0.7195331960101612,0.004623728003934957,0.019310578994918615
0,0.13,20,0.04,0.04,1000000000,0.739399387006415,0.004628286988008767,0.01932174200192094
0,0.13,20,0.04,0.04,1000000000,0.7383221530035371,0.004719385004136711,0.019438714007264934
0,0.13,20,0.04,0.04,1000000000,0.7148939960025018,0.004813275998458266,0.019031548989005387
0,0.13,20,0.04,0.04,1000000000,0.7194112740107812,0.004742277000332251,0.019218575005652383
0,0.13,20,0.04,0.04,1000000000,0.7223057649971452,0.00469168700510636,0.019313286000397056
0,0.13,20,0.04,0.04,1000000000,0.7184432319918415,0.004662306993850507,0.018970443998114206
0,0.13,20,0.04,0.04,1000000000,0.7244571110059042,0.004685744002927095,0.01903766399482265
0,0.13,20,0.04,0.04,1000000000,0.7194349220080767,0.0047014970041345805,0.019203097006538883
